"年份","学校标识码","学校名称","主管部门","所在地","所在省份","办学层次","学校性质","学校类型","备注"
"2022","4144014756.0","广州幼儿师范高等专科学校","广东省","广州市","广州市","专科","高职（专科）","普通高等学校",""
"2022","4144014757.0","广东汕头幼儿师范高等专科学校","广东省","汕头市","汕头市","专科","高职（专科）","普通高等学校",""
"2022","4144014758.0","广东梅州职业技术学院","广东省","梅州市","梅州市","专科","高职（专科）","普通高等学校",""
"2022","4144014759.0","广东潮州卫生健康职业学院","广东省","潮州市","潮州市","专科","高职（专科）","普通高等学校",""
"2022","4144014760.0","广东云浮中医药职业学院","广东省","云浮市","云浮市","专科","高职（专科）","普通高等学校",""
"2022","4144014761.0","广东肇庆航空职业学院","广东省教育厅","肇庆市","肇庆市","专科","高职（专科）","普通高等学校","民办"
"2022","4244050853.0","湛江幼儿师范专科学校","广东省","湛江市","湛江市","专科","高职（专科）","普通高等学校",""
"2022","4145010593.0","广西大学","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145010594.0","广西科技大学","广西壮族自治区","柳州市","柳州市","本科","本科","普通高等学校",""
"2022","4145010595.0","桂林电子科技大学","广西壮族自治区","桂林市","桂林市","本科","本科","普通高等学校",""
"2022","4145010596.0","桂林理工大学","广西壮族自治区","桂林市","桂林市","本科","本科","普通高等学校",""
"2022","4145010598.0","广西医科大学","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145010599.0","右江民族医学院","广西壮族自治区","百色市","百色市","本科","本科","普通高等学校",""
"2022","4145010600.0","广西中医药大学","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145010601.0","桂林医学院","广西壮族自治区","桂林市","桂林市","本科","本科","普通高等学校",""
"2022","4145010602.0","广西师范大学","广西壮族自治区","桂林市","桂林市","本科","本科","普通高等学校",""
"2022","4145010603.0","南宁师范大学","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145010604.0","广西民族师范学院","广西壮族自治区","崇左市","崇左市","本科","本科","普通高等学校",""
"2022","4145010605.0","河池学院","广西壮族自治区","河池市","河池市","本科","本科","普通高等学校",""
"2022","4145010606.0","玉林师范学院","广西壮族自治区","玉林市","玉林市","本科","本科","普通高等学校",""
"2022","4145010607.0","广西艺术学院","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145010608.0","广西民族大学","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145010609.0","百色学院","广西壮族自治区","百色市","百色市","本科","本科","普通高等学校",""
"2022","4145011354.0","梧州学院","广西壮族自治区","梧州市","梧州市","本科","本科","普通高等学校",""
"2022","4145011546.0","广西科技师范学院","广西壮族自治区","来宾市","来宾市","本科","本科","普通高等学校",""
"2022","4145011548.0","广西财经学院","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145011549.0","南宁学院","广西壮族自治区教育厅","南宁市","南宁市","本科","本科","普通高等学校","民办"
"2022","4145011607.0","北部湾大学","广西壮族自治区","钦州市","钦州市","本科","本科","普通高等学校",""
"2022","4145011825.0","桂林航天工业学院","广西壮族自治区","桂林市","桂林市","本科","本科","普通高等学校",""
"2022","4145011837.0","桂林旅游学院","广西壮族自治区","桂林市","桂林市","本科","本科","普通高等学校",""
"2022","4145011838.0","贺州学院","广西壮族自治区","贺州市","贺州市","本科","本科","普通高等学校",""
"2022","4145013520.0","广西警察学院","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145013524.0","北海艺术设计学院","广西壮族自治区教育厅","北海市","北海市","本科","本科","普通高等学校","民办"
"2022","4145016205.0","广西农业职业技术大学","广西壮族自治区","南宁市","南宁市","本科","本科","普通高等学校",""
"2022","4145013639.0","柳州工学院","广西壮族自治区教育厅","柳州市","柳州市","本科","本科","普通高等学校","民办"
"2022","4145013640.0","广西民族大学相思湖学院","广西壮族自治区教育厅","南宁市","南宁市","本科","本科","普通高等学校","民办"
"2022","4145013641.0","桂林学院","广西壮族自治区教育厅","桂林市","桂林市","本科","本科","普通高等学校","民办"
"2022","4145013642.0","南宁师范大学师园学院","广西壮族自治区教育厅","南宁市","南宁市","本科","本科","普通高等学校","民办"
