"主管部门","所在省份","学校性质","学校数量","普通高等学校数","成人高等学校数","年份范围"
"上海市","上海市","本科","168","168","0","2017-2025"
"上海市","上海市","高职（专科）","109","109","0","2017-2025"
"上海市","未知","成人高等教育","102","0","102","2017-2025"
"上海市 中国科学院","上海市","本科","8","8","0","2017-2025"
"上海市教委","上海市","本科","69","69","0","2017-2025"
"上海市教委","上海市","高职（专科）","91","91","0","2017-2025"
"中共中央党校","未知","成人高等教育","8","0","8","2017-2025"
"中共中央办公厅","未知","成人高等教育","8","0","8","2017-2025"
"中华全国总工会","北京市","本科","8","8","0","2017-2025"
"中华全国新闻工作者协会","未知","成人高等教育","8","0","8","2017-2025"
"中华妇女联合会","北京市","本科","8","8","0","2017-2025"
"中国地震局","廊坊市","本科","8","8","0","2017-2025"
"中国社会科学院","北京市","本科","8","8","0","2017-2025"
"中国科学院","北京市","本科","8","8","0","2017-2025"
"中国科学院","合肥市","本科","8","8","0","2017-2025"
"中国科学院","未知","成人高等教育","8","0","8","2017-2025"
"中央办公厅","北京市","本科","8","8","0","2017-2025"
"中央统战部","广州市","本科","7","7","0","2019-2025"
"中央统战部","泉州市","本科","7","7","0","2019-2025"
"云南省","临沧市","本科","8","8","0","2017-2025"
"云南省","临沧市","高职（专科）","2","2","0","2024-2025"
"云南省","丽江市","本科","2","2","0","2024-2025"
"云南省","丽江市","高职（专科）","9","9","0","2017-2025"
"云南省","保山市","本科","8","8","0","2017-2025"
"云南省","保山市","高职（专科）","11","11","0","2017-2025"
"云南省","大理市","本科","4","4","0","2019-2022"
"云南省","大理白族 自治州","本科","2","2","0","2017"
"云南省","大理白族 自治州","高职（专科）","1","1","0","2017"
"云南省","大理白族自治州","本科","10","10","0","2019-2025"
"云南省","大理白族自治州","高职（专科）","15","15","0","2017-2025"
"云南省","德宏傣族景颇族自治州","本科","1","1","0","2025"
"云南省","德宏傣族景颇族自治州","高职（专科）","15","15","0","2017-2025"
"云南省","怒江傈僳族自治州","高职（专科）","2","2","0","2024-2025"
"云南省","文山壮族苗族自治州","本科","8","8","0","2017-2025"
"云南省","文山壮族苗族自治州","高职（专科）","3","3","0","2023-2025"
"云南省","昆明市","本科","96","96","0","2017-2025"
"云南省","昆明市","高职（专科）","159","159","0","2017-2025"
"云南省","昭通市","本科","8","8","0","2017-2025"
"云南省","昭通市","高职（专科）","11","11","0","2017-2025"
"云南省","普洱市","本科","8","8","0","2017-2025"
"云南省","曲靖市","本科","9","9","0","2017-2025"
"云南省","曲靖市","高职（专科）","24","24","0","2017-2025"
"云南省","未知","成人高等教育","10","0","10","2017-2025"
"云南省","楚雄彝族 自治州","本科","1","1","0","2017"
"云南省","楚雄彝族 自治州","高职（专科）","1","1","0","2017"
"云南省","楚雄彝族自治州","本科","7","7","0","2019-2025"
"云南省","楚雄彝族自治州","高职（专科）","13","13","0","2019-2025"
"云南省","玉溪市","本科","8","8","0","2017-2025"
"云南省","玉溪市","高职（专科）","11","11","0","2017-2025"
"云南省","红河哈尼族彝族自治州","本科","8","8","0","2017-2025"
"云南省","红河哈尼族彝族自治州","高职（专科）","19","19","0","2017-2025"
"云南省","红河州","高职（专科）","3","3","0","2020-2022"
"云南省","西双版纳傣族自治州","高职（专科）","8","8","0","2017-2025"
"云南省","迪庆藏族自治州","高职（专科）","3","3","0","2023-2025"
"云南省教育厅","丽江市","本科","8","8","0","2017-2025"
"云南省教育厅","文山壮族苗族自治州","高职（专科）","8","8","0","2017-2025"
"云南省教育厅","昆明市","本科","64","64","0","2017-2025"
"云南省教育厅","昆明市","高职（专科）","87","87","0","2017-2025"
"云南省教育厅","楚雄彝族 自治州","高职（专科）","1","1","0","2017"
"云南省教育厅","楚雄彝族自治州","高职（专科）","1","1","0","2019"
"交通运输部","上海市","高职（专科）","1","1","0","2017"
"交通运输部","大连市","本科","8","8","0","2017-2025"
"交通运输部","天津市","本科","1","1","0","2017"
"交通运输部","广州市","高职（专科）","1","1","0","2017"
"交通运输部","德阳市","本科","1","1","0","2017"
"交通运输部","未知","成人高等教育","8","0","8","2017-2025"
"交通运输部（中国民用航空局）","上海市","高职（专科）","7","7","0","2019-2025"
"交通运输部（中国民用航空局）","天津市","本科","7","7","0","2019-2025"
"交通运输部（中国民用航空局）","广州市","高职（专科）","7","7","0","2019-2025"
"交通运输部（中国民用航空局）","德阳市","本科","7","7","0","2019-2025"
"公安部","北京市","本科","8","8","0","2017-2025"
"公安部","南京市","本科","7","7","0","2019-2025"
"公安部","宁波市","本科","1","1","0","2017"
"公安部","广州市","高职（专科）","1","1","0","2017"
"公安部","廊坊市","本科","8","8","0","2017-2025"
"公安部","昆明市","高职（专科）","1","1","0","2017"
"公安部","未知","成人高等教育","8","0","8","2017-2025"
"公安部","沈阳市","本科","8","8","0","2017-2025"
"公安部","郑州市","本科","8","8","0","2017-2025"
"共青团中央","北京市","本科","8","8","0","2017-2025"
"内蒙古自治区","乌兰察布市","本科","8","8","0","2017-2025"
"内蒙古自治区","乌兰察布市","高职（专科）","16","16","0","2017-2025"
"内蒙古自治区","乌海市","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区","兴安盟","本科","1","1","0","2025"
"内蒙古自治区","兴安盟","高职（专科）","7","7","0","2017-2024"
"内蒙古自治区","包头市","本科","8","8","0","2017-2025"
"内蒙古自治区","包头市","高职（专科）","32","32","0","2017-2025"
"内蒙古自治区","呼伦贝尔市","本科","8","8","0","2017-2025"
"内蒙古自治区","呼伦贝尔市","高职（专科）","24","24","0","2017-2025"
"内蒙古自治区","呼和浩特市","本科","67","67","0","2017-2025"
"内蒙古自治区","呼和浩特市","高职（专科）","61","61","0","2017-2025"
"内蒙古自治区","巴彦淖尔市","本科","8","8","0","2017-2025"
"内蒙古自治区","未知","成人高等教育","16","0","16","2017-2025"
"内蒙古自治区","赤峰市","本科","8","8","0","2017-2025"
"内蒙古自治区","赤峰市","高职（专科）","22","22","0","2017-2025"
"内蒙古自治区","通辽市","本科","8","8","0","2017-2025"
"内蒙古自治区","通辽市","高职（专科）","16","16","0","2017-2025"
"内蒙古自治区","鄂尔多斯市","本科","8","8","0","2017-2025"
"内蒙古自治区","鄂尔多斯市","高职（专科）","24","24","0","2017-2025"
"内蒙古自治区","锡林郭勒盟","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区","阿拉善盟","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区教育厅","呼和浩特市","本科","16","16","0","2017-2025"
"内蒙古自治区教育厅","呼和浩特市","高职（专科）","48","48","0","2017-2025"
"内蒙古自治区教育厅","巴彦淖尔市","高职（专科）","8","8","0","2017-2025"
"内蒙古自治区教育厅","赤峰市","高职（专科）","8","8","0","2017-2025"
"北京市","北京市","本科","177","177","0","2017-2025"
"北京市","北京市","高职（专科）","125","125","0","2017-2025"
"北京市","未知","成人高等教育","120","0","120","2017-2025"
"北京市教委","北京市","本科","50","50","0","2017-2025"
"北京市教委","北京市","高职（专科）","72","72","0","2017-2025"
"司法部","保定市","本科","8","8","0","2017-2025"
"吉林省","吉林省","本科","41","41","0","2017-2025"
"吉林省","吉林省","高职（专科）","28","28","0","2017-2025"
"吉林省","四平市","本科","8","8","0","2017-2025"
"吉林省","四平市","高职（专科）","17","17","0","2017-2025"
"吉林省","延边朝鲜族 自治州","本科","1","1","0","2017"
"吉林省","延边朝鲜族 自治州","高职（专科）","1","1","0","2017"
"吉林省","延边朝鲜族自治州","本科","7","7","0","2019-2025"
"吉林省","延边朝鲜族自治州","高职（专科）","7","7","0","2019-2025"
"吉林省","未知","成人高等教育","112","0","112","2017-2025"
"吉林省","松原市","高职（专科）","8","8","0","2017-2025"
"吉林省","白城市","本科","8","8","0","2017-2025"
"吉林省","白城市","高职（专科）","16","16","0","2017-2025"
"吉林省","白山市","高职（专科）","8","8","0","2017-2025"
"吉林省","辽源市","高职（专科）","8","8","0","2017-2025"
"吉林省","通化市","本科","8","8","0","2017-2025"
"吉林省","通化市","高职（专科）","5","5","0","2021-2025"
"吉林省","长春市","本科","115","115","0","2017-2025"
"吉林省","长春市","高职（专科）","61","61","0","2017-2025"
"吉林省教育厅","四平市","本科","8","8","0","2017-2025"
"吉林省教育厅","延边朝鲜族 自治州","高职（专科）","1","1","0","2017"
"吉林省教育厅","延边朝鲜族自治州","高职（专科）","7","7","0","2019-2025"
"吉林省教育厅","梅河口市","高职（专科）","2","2","0","2020-2021"
"吉林省教育厅","通化市","高职（专科）","4","4","0","2022-2025"
"吉林省教育厅","长春市","本科","88","88","0","2017-2025"
"吉林省教育厅","长春市","高职（专科）","48","48","0","2017-2025"
"四川省","乐山市","本科","8","8","0","2017-2025"
"四川省","乐山市","高职（专科）","8","8","0","2017-2025"
"四川省","内江市","本科","8","8","0","2017-2025"
"四川省","内江市","高职（专科）","23","23","0","2017-2025"
"四川省","凉山彝族 自治州","本科","1","1","0","2017"
"四川省","凉山彝族自治州","本科","7","7","0","2019-2025"
"四川省","凉山彝族自治州","高职（专科）","7","7","0","2019-2025"
"四川省","南充市","本科","16","16","0","2017-2025"
"四川省","南充市","高职（专科）","14","14","0","2017-2025"
"四川省","宜宾市","本科","8","8","0","2017-2025"
"四川省","宜宾市","高职（专科）","10","10","0","2017-2025"
"四川省","广元市","高职（专科）","16","16","0","2017-2025"
"四川省","广安市","高职（专科）","8","8","0","2017-2025"
"四川省","德阳市","本科","2","2","0","2024-2025"
"四川省","德阳市","高职（专科）","30","30","0","2017-2025"
"四川省","成都市","本科","105","105","0","2017-2025"
"四川省","成都市","高职（专科）","142","142","0","2017-2025"
"四川省","攀枝花市","本科","8","8","0","2017-2025"
"四川省","攀枝花市","高职（专科）","8","8","0","2017-2025"
"四川省","未知","成人高等教育","99","0","99","2017-2025"
"四川省","泸州市","本科","16","16","0","2017-2025"
"四川省","泸州市","高职（专科）","16","16","0","2017-2025"
"四川省","甘孜藏族 自治州","本科","1","1","0","2017"
"四川省","甘孜藏族自治州","本科","7","7","0","2019-2025"
"四川省","甘孜藏族自治州","高职（专科）","5","5","0","2021-2025"
"四川省","眉山市","高职（专科）","8","8","0","2017-2025"
"四川省","绵阳市","本科","16","16","0","2017-2025"
"四川省","绵阳市","高职（专科）","24","24","0","2017-2025"
"四川省","自贡市","本科","8","8","0","2017-2025"
"四川省","自贡市","高职（专科）","8","8","0","2017-2025"
"四川省","西昌市","高职（专科）","2","2","0","2024-2025"
"四川省","达州市","本科","8","8","0","2017-2025"
"四川省","达州市","高职（专科）","15","15","0","2017-2025"
"四川省","遂宁市","高职（专科）","8","8","0","2017-2025"
"四川省","阿坝藏族羌族自治州","本科","8","8","0","2017-2025"
"四川省","阿坝藏族羌族自治州","高职（专科）","7","7","0","2019-2025"
"四川省","雅安市","本科","8","8","0","2017-2025"
"四川省","雅安市","高职（专科）","8","8","0","2017-2025"
"四川省教育厅","乐山市","本科","8","8","0","2017-2025"
"四川省教育厅","凉山州","高职（专科）","2","2","0","2017-2019"
"四川省教育厅","凉山彝族自治州","高职（专科）","6","6","0","2020-2025"
"四川省教育厅","南充市","本科","8","8","0","2017-2025"
"四川省教育厅","南充市","高职（专科）","13","13","0","2019-2025"
"四川省教育厅","四川省","本科","1","1","0","2021"
"四川省教育厅","巴中市","高职（专科）","8","8","0","2017-2025"
"四川省教育厅","广元市","高职（专科）","7","7","0","2019-2025"
"四川省教育厅","德阳市","本科","8","8","0","2017-2025"
"四川省教育厅","德阳市","高职（专科）","20","20","0","2019-2025"
"四川省教育厅","成都市","本科","84","84","0","2017-2025"
"四川省教育厅","成都市","高职（专科）","91","91","0","2017-2025"
"四川省教育厅","攀枝花市","高职（专科）","7","7","0","2019-2025"
"四川省教育厅","泸州市","高职（专科）","21","21","0","2017-2025"
"四川省教育厅","眉山市","本科","8","8","0","2017-2025"
"四川省教育厅","眉山市","高职（专科）","28","28","0","2019-2025"
"四川省教育厅","绵阳市","本科","24","24","0","2017-2025"
"四川省教育厅","绵阳市","高职（专科）","22","22","0","2017-2025"
"四川省教育厅","自贡市","高职（专科）","5","5","0","2021-2025"
"四川省教育厅","资阳市","高职（专科）","22","22","0","2017-2025"
"四川省教育厅","遂宁市","高职（专科）","9","9","0","2023-2025"
"国务院侨办","广州市","本科","1","1","0","2017"
"国务院侨办","泉州市","本科","1","1","0","2017"
"国家体育总局","北京市","本科","8","8","0","2017-2025"
"国家卫生健康委员会","北京市","本科","7","7","0","2019-2025"
"国家卫生和计划生育委员会","北京市","本科","1","1","0","2017"
"国家安全生产监督管理总局","廊坊市","本科","1","1","0","2017"
"国家林业局","南京市","本科","1","1","0","2017"
"国家民委","兰州市","本科","8","8","0","2017-2025"
"国家民委","北京市","本科","8","8","0","2017-2025"
"国家民委","大连市","本科","8","8","0","2017-2025"
"国家民委","成都市","本科","8","8","0","2017-2025"
"国家民委","武汉市","本科","8","8","0","2017-2025"
"国家民委","银川市","本科","8","8","0","2017-2025"
"外交部","北京市","本科","8","8","0","2017-2025"
"天津市","天津市","本科","129","129","0","2017-2025"
"天津市","天津市","高职（专科）","200","200","0","2017-2025"
"天津市","未知","成人高等教育","105","0","105","2017-2025"
"天津市教委","天津市","本科","88","88","0","2017-2025"
"天津市教委","天津市","高职（专科）","8","8","0","2017-2025"
"宁夏回族自治区","吴忠市","高职（专科）","8","8","0","2017-2025"
"宁夏回族自治区","固原市","本科","8","8","0","2017-2025"
"宁夏回族自治区","未知","成人高等教育","8","0","8","2017-2025"
"宁夏回族自治区","石嘴山市","高职（专科）","9","9","0","2020-2025"
"宁夏回族自治区","银川市","本科","18","18","0","2017-2025"
"宁夏回族自治区","银川市","高职（专科）","80","80","0","2017-2025"
"宁夏回族自治区教育厅","石嘴山市","本科","5","5","0","2021-2025"
"宁夏回族自治区教育厅","银川市","本科","15","15","0","2021-2025"
"宁夏自治区教育厅","石嘴山市","本科","3","3","0","2017-2020"
"宁夏自治区教育厅","银川市","本科","9","9","0","2017-2020"
"安徽省","亳州市","本科","8","8","0","2017-2025"
"安徽省","亳州市","高职（专科）","8","8","0","2017-2025"
"安徽省","六安市","本科","8","8","0","2017-2025"
"安徽省","六安市","高职（专科）","25","25","0","2017-2025"
"安徽省","合肥市","本科","77","77","0","2017-2025"
"安徽省","合肥市","高职（专科）","206","206","0","2017-2025"
"安徽省","安庆市","本科","8","8","0","2017-2025"
"安徽省","安庆市","高职（专科）","32","32","0","2017-2025"
"安徽省","宣城市","高职（专科）","8","8","0","2017-2025"
"安徽省","宿州市","本科","8","8","0","2017-2025"
"安徽省","宿州市","高职（专科）","16","16","0","2017-2025"
"安徽省","未知","成人高等教育","48","0","48","2017-2025"
"安徽省","池州市","本科","8","8","0","2017-2025"
"安徽省","池州市","高职（专科）","16","16","0","2017-2025"
"安徽省","淮北市","本科","8","8","0","2017-2025"
"安徽省","淮北市","高职（专科）","8","8","0","2017-2025"
"安徽省","淮南市","本科","16","16","0","2017-2025"
"安徽省","淮南市","高职（专科）","24","24","0","2017-2025"
"安徽省","滁州市","本科","16","16","0","2017-2025"
"安徽省","滁州市","高职（专科）","16","16","0","2017-2025"
"安徽省","芜湖市","本科","25","25","0","2017-2025"
"安徽省","芜湖市","高职（专科）","31","31","0","2017-2025"
"安徽省","蚌埠市","本科","24","24","0","2017-2025"
"安徽省","蚌埠市","高职（专科）","8","8","0","2017-2025"
"安徽省","铜陵市","本科","8","8","0","2017-2025"
"安徽省","铜陵市","高职（专科）","16","16","0","2017-2025"
"安徽省","阜阳市","本科","8","8","0","2017-2025"
"安徽省","阜阳市","高职（专科）","16","16","0","2017-2025"
"安徽省","马鞍山市","本科","8","8","0","2017-2025"
"安徽省","马鞍山市","高职（专科）","24","24","0","2017-2025"
"安徽省","黄山市","本科","8","8","0","2017-2025"
"安徽省","黄山市","高职（专科）","8","8","0","2017-2025"
"安徽省教育厅","六安市","高职（专科）","2","2","0","2017-2019"
"安徽省教育厅","合肥市","本科","62","62","0","2017-2025"
"安徽省教育厅","合肥市","高职（专科）","74","74","0","2017-2025"
"安徽省教育厅","宿州市","高职（专科）","5","5","0","2021-2025"
"安徽省教育厅","淮北市","本科","8","8","0","2017-2025"
"安徽省教育厅","淮北市","高职（专科）","8","8","0","2017-2025"
"安徽省教育厅","淮南市","高职（专科）","6","6","0","2020-2025"
"安徽省教育厅","芜湖市","本科","16","16","0","2017-2025"
"安徽省教育厅","芜湖市","高职（专科）","12","12","0","2017-2025"
"安徽省教育厅","蚌埠市","本科","8","8","0","2017-2025"
"安徽省教育厅","蚌埠市","高职（专科）","10","10","0","2017-2025"
"安徽省教育厅","阜阳市","本科","8","8","0","2017-2025"
"安徽省教育厅","阜阳市","高职（专科）","16","16","0","2017-2025"
"安徽省教育厅","马鞍山市","本科","16","16","0","2017-2025"
"安徽省教育厅","黄山市","高职（专科）","6","6","0","2020-2025"
"山东省","东营市","本科","5","5","0","2021-2025"
"山东省","东营市","高职（专科）","17","17","0","2017-2025"
"山东省","临沂市","本科","8","8","0","2017-2025"
"山东省","临沂市","高职（专科）","22","22","0","2017-2025"
"山东省","威海市","高职（专科）","24","24","0","2017-2025"
"山东省","德州市","本科","8","8","0","2017-2025"
"山东省","德州市","高职（专科）","10","10","0","2017-2025"
"山东省","日照市","高职（专科）","16","16","0","2017-2025"
"山东省","未知","成人高等教育","88","0","88","2017-2025"
"山东省","枣庄市","本科","8","8","0","2017-2025"
"山东省","枣庄市","高职（专科）","16","16","0","2017-2025"
"山东省","泰安市","本科","17","17","0","2017-2025"
"山东省","泰安市","高职（专科）","24","24","0","2017-2025"
"山东省","济南市","本科","143","143","0","2017-2025"
"山东省","济南市","高职（专科）","117","117","0","2017-2025"
"山东省","济宁市","本科","24","24","0","2017-2025"
"山东省","济宁市","高职（专科）","16","16","0","2017-2025"
"山东省","淄博市","本科","9","9","0","2017-2025"
"山东省","淄博市","高职（专科）","47","47","0","2017-2025"
"山东省","滨州市","本科","16","16","0","2017-2025"
"山东省","滨州市","高职（专科）","8","8","0","2017-2025"
"山东省","潍坊市","本科","16","16","0","2017-2025"
"山东省","潍坊市","高职（专科）","64","64","0","2017-2025"
"山东省","烟台市","本科","24","24","0","2017-2025"
"山东省","烟台市","高职（专科）","57","57","0","2017-2025"
"山东省","聊城市","本科","8","8","0","2017-2025"
"山东省","聊城市","高职（专科）","9","9","0","2017-2025"
"山东省","莱芜市","高职（专科）","3","3","0","2017-2021"
"山东省","菏泽市","本科","8","8","0","2017-2025"
"山东省","菏泽市","高职（专科）","24","24","0","2017-2025"
"山东省","青岛市","本科","42","42","0","2017-2025"
"山东省","青岛市","高职（专科）","53","53","0","2017-2025"
"山东省教育厅","东营市","本科","3","3","0","2017-2020"
"山东省教育厅","东营市","高职（专科）","7","7","0","2017-2024"
"山东省教育厅","临沂市","高职（专科）","1","1","0","2025"
"山东省教育厅","威海市","本科","7","7","0","2019-2025"
"山东省教育厅","威海市","高职（专科）","1","1","0","2017"
"山东省教育厅","德州市","本科","8","8","0","2017-2025"
"山东省教育厅","德州市","高职（专科）","10","10","0","2017-2025"
"山东省教育厅","日照市","本科","7","7","0","2019-2025"
"山东省教育厅","日照市","高职（专科）","12","12","0","2017-2025"
"山东省教育厅","枣庄市","高职（专科）","1","1","0","2025"
"山东省教育厅","泰安市","本科","16","16","0","2017-2025"
"山东省教育厅","泰安市","高职（专科）","8","8","0","2017-2025"
"山东省教育厅","济南市","本科","51","51","0","2017-2025"
"山东省教育厅","济南市","高职（专科）","25","25","0","2017-2025"
"山东省教育厅","济宁市","高职（专科）","9","9","0","2017-2025"
"山东省教育厅","淄博市","本科","8","8","0","2017-2025"
"山东省教育厅","滨州市","高职（专科）","5","5","0","2021-2025"
"山东省教育厅","潍坊市","本科","15","15","0","2017-2025"
"山东省教育厅","潍坊市","高职（专科）","25","25","0","2017-2025"
"山东省教育厅","烟台市","本科","29","29","0","2017-2025"
"山东省教育厅","烟台市","高职（专科）","14","14","0","2017-2025"
"山东省教育厅","聊城市","本科","8","8","0","2017-2025"
"山东省教育厅","菏泽市","高职（专科）","1","1","0","2025"
"山东省教育厅","青岛市","本科","48","48","0","2017-2025"
"山东省教育厅","青岛市","高职（专科）","27","27","0","2017-2025"
"山西省","临汾市","本科","7","7","0","2017-2025"
"山西省","临汾市","高职（专科）","16","16","0","2017-2025"
"山西省","吕梁市","本科","9","9","0","2017-2025"
"山西省","吕梁市","高职（专科）","11","11","0","2017-2025"
"山西省","大同市","本科","8","8","0","2017-2025"
"山西省","大同市","高职（专科）","21","21","0","2017-2025"
"山西省","太原市","本科","105","105","0","2017-2025"
"山西省","太原市","高职（专科）","164","164","0","2017-2025"
"山西省","忻州市","本科","8","8","0","2017-2025"
