"主管部门","所在省份","学校性质","学校数量","包含年份","包含类型"
"教育部","武汉市","本科","56","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","沈阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","济南市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","西安市","本科","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","重庆市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","长春市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","长沙市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","青岛市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"教育部","【小计】","","16","",""
"新疆生产建设兵团","乌鲁木齐市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","五家渠市","高职（专科）","3","2017, 2019, 2020","普通高等学校"
"新疆生产建设兵团","双河市","高职（专科）","2","2024, 2025","普通高等学校"
"新疆生产建设兵团","可克达拉市","高职（专科）","3","2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","和田地区","本科","1","2025","普通高等学校"
"新疆生产建设兵团","喀什地区","本科","1","2025","普通高等学校"
"新疆生产建设兵团","图木舒克市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","图木舒克市","高职（专科）","3","2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","新星市","高职（专科）","3","2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","昆玉市","高职（专科）","3","2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","未知","成人高等教育","18","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"新疆生产建设兵团","石河子市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","石河子市","高职（专科）","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","铁门关市","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","阿拉尔市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","阿拉尔市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆生产建设兵团","【小计】","","14","",""
"新疆生产建设兵团教育局","石河子市","本科","1","2020","普通高等学校"
"新疆生产建设兵团教育局","阿拉尔市","本科","1","2025","普通高等学校"
"新疆生产建设兵团教育局","【小计】","","1","",""
"新疆维吾尔自治区","乌鲁木齐市","本科","66","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","乌鲁木齐市","高职（专科）","83","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","伊犁哈萨克 自治州","本科","1","2017","普通高等学校"
"新疆维吾尔自治区","伊犁哈萨克 自治州","高职（专科）","2","2017","普通高等学校"
"新疆维吾尔自治区","伊犁哈萨克自治州","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","伊犁哈萨克自治州","高职（专科）","14","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","克孜勒苏柯尔克孜自治州","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","克孜勒苏自治州","高职（专科）","1","2019","普通高等学校"
"新疆维吾尔自治区","克拉玛依市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","克拉玛依市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","博尔塔拉蒙古自治州","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","吐鲁番市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","和田地区","本科","2","2024, 2025","普通高等学校"
"新疆维吾尔自治区","和田地区","高职（专科）","19","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","哈密市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","喀什地区","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","喀什地区","高职（专科）","10","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","塔城地区","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","巴音郭楞蒙古自治州","本科","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","巴音郭楞蒙古自治州","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","昌吉回族 自治州","本科","1","2017","普通高等学校"
"新疆维吾尔自治区","昌吉回族 自治州","高职（专科）","2","2017","普通高等学校"
"新疆维吾尔自治区","昌吉回族自治州","本科","9","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","昌吉回族自治州","高职（专科）","13","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","未知","成人高等教育","30","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"新疆维吾尔自治区","阿克苏地区","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","阿克苏地区","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","阿勒泰地区","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区","【小计】","","7","",""
"新疆维吾尔自治区教育厅","乌鲁木齐市","本科","10","2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区教育厅","乌鲁木齐市","高职（专科）","15","2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区教育厅","五家渠市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"新疆维吾尔自治区教育厅","【小计】","","5","",""
"新疆自治区教育厅","乌鲁木齐市","本科","10","2017, 2019, 2020","普通高等学校"
"新疆自治区教育厅","乌鲁木齐市","高职（专科）","12","2017, 2019, 2020","普通高等学校"
"新疆自治区教育厅","五家渠市","高职（专科）","1","2020","普通高等学校"
"新疆自治区教育厅","石河子市","本科","2","2017, 2019","普通高等学校"
"新疆自治区教育厅","【小计】","","2","",""
"最高人民检察院","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"最高人民检察院","【小计】","","8","",""
"最高人民法院","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"最高人民法院","【小计】","","8","",""
"民政部","北京市","本科","2","2024, 2025","普通高等学校"
"民政部","【小计】","","2","",""
"江苏省","南京市","本科","142","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","南京市","高职（专科）","100","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","南通市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","南通市","高职（专科）","49","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","宿迁市","本科","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","宿迁市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","常州市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","常州市","高职（专科）","53","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","徐州市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","徐州市","高职（专科）","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","扬州市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","扬州市","高职（专科）","31","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","无锡市","本科","6","2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","无锡市","高职（专科）","57","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","未知","成人高等教育","56","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"江苏省","泰州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","泰州市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","淮安市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","淮安市","高职（专科）","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","盐城市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","盐城市","高职（专科）","26","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","苏州市","本科","30","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","苏州市","高职（专科）","96","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","连云港市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","连云港市","高职（专科）","23","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","镇江市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","镇江市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省","【小计】","","40","",""
"江苏省教育厅","南京市","本科","69","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","南京市","高职（专科）","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","南通市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","宿迁市","本科","2","2017, 2019","普通高等学校"
"江苏省教育厅","宿迁市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","常州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","张家港市","本科","2","2017, 2019","普通高等学校"
"江苏省教育厅","徐州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","徐州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","扬州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","扬州市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","无锡市","本科","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","无锡市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","昆山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","泰州市","本科","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","淮安市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","盐城市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","苏州市","本科","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","苏州市","高职（专科）","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","连云港市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","镇江市","本科","21","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","镇江市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江苏省教育厅","【小计】","","29","",""
"江西省","上饶市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","上饶市","高职（专科）","34","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","九江市","本科","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","九江市","高职（专科）","23","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","南昌市","本科","103","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","南昌市","高职（专科）","177","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","吉安市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","吉安市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","宜春市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","宜春市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","抚州市","本科","14","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","抚州市","高职（专科）","23","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","新余市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","新余市","高职（专科）","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","景德镇市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","景德镇市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","未知","成人高等教育","47","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"江西省","萍乡市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","萍乡市","高职（专科）","23","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","赣州市","本科","29","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","赣州市","高职（专科）","39","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","鹰潭市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省","【小计】","","16","",""
"江西省教育厅","九江市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","九江市","高职（专科）","21","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","南昌市","本科","113","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","南昌市","高职（专科）","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","宜春市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","抚州市","本科","3","2017, 2019, 2020","普通高等学校"
"江西省教育厅","抚州市","高职（专科）","2","2024, 2025","普通高等学校"
"江西省教育厅","新余市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","新余市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","景德镇市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","景德镇市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","赣州市","本科","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","赣州市","高职（专科）","7","2021, 2022, 2023, 2024, 2025","普通高等学校"
"江西省教育厅","鹰潭市","高职（专科）","1","2025","普通高等学校"
"江西省教育厅","【小计】","","1","",""
"河北省","保定市","本科","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","保定市","高职（专科）","48","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","唐山市","本科","26","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","唐山市","高职（专科）","38","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","天津市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","廊坊市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","廊坊市","高职（专科）","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","张家口市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","张家口市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","承德市","本科","21","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","承德市","高职（专科）","26","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","未知","成人高等教育","36","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"河北省","沧州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","沧州市","高职（专科）","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","石家庄市","本科","77","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","石家庄市","高职（专科）","119","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","秦皇岛市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","秦皇岛市","高职（专科）","27","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","衡水市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","衡水市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","邢台市","本科","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","邢台市","高职（专科）","17","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","邯郸市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","邯郸市","高职（专科）","28","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省","【小计】","","44","",""
"河北省教育厅","保定市","本科","35","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","唐山市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","唐山市","高职（专科）","14","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","廊坊市","本科","27","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","沧州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","沧州市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","石家庄市","本科","75","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","石家庄市","高职（专科）","82","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","秦皇岛市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","邢台市","高职（专科）","7","2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","邯郸市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河北省教育厅","邯郸市","高职（专科）","3","2023, 2024, 2025","普通高等学校"
"河北省教育厅","【小计】","","11","",""
"河南省","三门峡市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","信阳市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","信阳市","高职（专科）","13","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","南阳市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","南阳市","高职（专科）","33","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","周口市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","周口市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","商丘市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","商丘市","高职（专科）","27","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","安阳市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","安阳市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","平顶山市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","平顶山市","高职（专科）","29","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","开封市","本科","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","开封市","高职（专科）","35","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","新乡市","本科","40","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","新乡市","高职（专科）","21","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","未知","成人高等教育","81","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"河南省","洛阳市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","洛阳市","高职（专科）","29","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","济源市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","漯河市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","濮阳市","高职（专科）","25","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","焦作市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","焦作市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","许昌市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","许昌市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","郑州市","本科","122","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","郑州市","高职（专科）","207","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","驻马店市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","驻马店市","高职（专科）","18","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","鹤壁市","高职（专科）","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省","【小计】","","9","",""
"河南省教育厅","信阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","信阳市","高职（专科）","19","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","南阳市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","周口市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","周口市","高职（专科）","4","2017, 2024, 2025","普通高等学校"
"河南省教育厅","商丘市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","安阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","安阳市","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","平顶山市","高职（专科）","9","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","开封市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","开封市","高职（专科）","5","2023, 2024, 2025","普通高等学校"
"河南省教育厅","新乡市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","新乡市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","洛阳市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","漯河市","本科","2","2024, 2025","普通高等学校"
"河南省教育厅","漯河市","高职（专科）","6","2017, 2019, 2020, 2021, 2022, 2023","普通高等学校"
"河南省教育厅","焦作市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","焦作市","高职（专科）","11","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","许昌市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","郑州市","本科","83","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","郑州市","高职（专科）","117","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","鹤壁市","高职（专科）","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"河南省教育厅","【小计】","","15","",""
"浙江省","丽水市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"浙江省","丽水市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"浙江省","台州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
