"主管部门","所在省份","学校性质","学校数量","包含年份","包含类型"
"内蒙古自治区","呼伦贝尔市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","呼和浩特市","本科","67","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","呼和浩特市","高职（专科）","61","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","巴彦淖尔市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","未知","成人高等教育","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"内蒙古自治区","赤峰市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","赤峰市","高职（专科）","22","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","通辽市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","通辽市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","鄂尔多斯市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","鄂尔多斯市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","锡林郭勒盟","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","阿拉善盟","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区","【小计】","","8","",""
"内蒙古自治区教育厅","呼和浩特市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区教育厅","呼和浩特市","高职（专科）","48","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区教育厅","巴彦淖尔市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区教育厅","赤峰市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"内蒙古自治区教育厅","【小计】","","8","",""
"北京市","北京市","本科","177","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"北京市","北京市","高职（专科）","125","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"北京市","未知","成人高等教育","120","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"北京市","【小计】","","120","",""
"北京市教委","北京市","本科","50","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
