状态	地区	学校标识码	学校名称	主管部门	备注	曾用名
0	黑龙江省	4223050293	黑龙江省电力职工大学	黑龙江省		
0	黑龙江省	4223050350	牡丹江市教育学院	黑龙江省		
0	黑龙江省	4223050351	佳木斯市教育学院	黑龙江省		
0	黑龙江省	4223051746	哈尔滨市职工医学院	黑龙江省		
0	上海市	4231050371	上海市虹口区业余大学	上海市		
0	上海市	4231051613	上海市经济管理干部学院	上海市		
0	浙江省	4233050559	宁波教育学院	浙江省		
0	江西省	4236050616	南昌市业余大学	江西省		
0	江西省	4236050617	南昌市职工科技大学	江西省		
0	江西省	4236051283	南昌教育学院	江西省		
0	江西省	4236051285	江西经济管理干部学院	江西省		
0	河南省	4241050709	平顶山教育学院	河南省		
0	湖北省	4242050763	荆州教育学院	湖北省		
0	湖南省	4243050812	湘潭教育学院	湖南省		
0	广西壮族自治区	4245050869	广西壮族自治区经济管理干部学院	广西壮族自治区		
0	广西壮族自治区	4245051675	南宁地区教育学院	广西壮族自治区		
0	重庆市	4250051759	重庆职工会计专科学校	重庆市		
0	四川省	4251050081	四川科技职工大学	四川省		
0	四川省	4251050875	四川省东方动力职工大学	四川省		
0	四川省	4251050881	四川核工业职工大学	四川省		
0	四川省	4251050883	成都飞机工业公司职工工学院	四川省		
0	四川省	4251050907	成都冶金职工大学	四川省		
0	四川省	4251051351	四川省职工运动技术学院	四川省		
0	云南省	4253051361	南方电力职工大学	云南省		
0	陕西省	4261051020	西安外贸职工大学	陕西省		
0	甘肃省	4262051038	兰州航空工业职工大学	甘肃省		
