状态	地区	学校标识码	学校名称	主管部门	所在地	办学层次	备注	adminType	categoryName	英文名称	双一流建设	官网链接	更新说明
1	吉林省	4122013662	长春人文学院	吉林省教育厅	长春市	本科	民办	民办高校	综合			http://www.ccrw.edu.cn/	学校名称：2020->2021年 “东北师范大学人文学院”更名为“长春人文学院”
1	吉林省	4122013706	吉林医药学院	吉林省	吉林市	本科		地方公办	医药	Jilin Medical University		http://www.jlmpc.cn/	
1	吉林省	4122013743	白城医学高等专科学校	吉林省	白城市	专科		地方公办	医药	Baicheng Medical College		http://www.bcyz.cn	
1	吉林省	4122013916	长春信息技术职业学院	吉林省教育厅	长春市	专科	民办	民办高校	理工	Changchun Information Technology College		https://www.citpc.edu.cn/	
1	吉林省	4122013917	松原职业技术学院	吉林省	松原市	专科		地方公办	理工	Songyuan Vocational Technical College		http://www.sypt.cn	
1	吉林省	4122014052	吉林铁道职业技术学院	吉林省	吉林市	专科		地方公办	理工	Jilin Railway Technology College		http://www.jtpt.cn	
1	吉林省	4122014107	白城职业技术学院	吉林省	白城市	专科		地方公办	理工	Baicheng Vocational And Technical College		http://www.bcvit.cn	
1	吉林省	4122014190	长白山职业技术学院	吉林省	白山市	专科		地方公办	理工	Changbaishan Vocational Technical College		http://www.cbsvtc.com.cn	
1	吉林省	4122014291	吉林科技职业技术学院	吉林省教育厅	长春市	专科	民办	民办高校	理工	Jilin Science And Technology Vocational College		http://www.jilinkj.com/	
1	吉林省	4122014340	延边职业技术学院	吉林省	延边朝鲜族自治州	专科		地方公办	理工	Yanbian Vocational & Technical College		http://www.ybvtc.com	
1	吉林省	4122014426	吉林城市职业技术学院	吉林省教育厅	长春市	专科	民办	民办高校	理工	Jilin Institute Of Urban Vocational Technology		www.jlcsxy.com	
1	吉林省	4122014567	吉林职业技术学院	吉林省教育厅	延边朝鲜族自治州	专科	民办	民办高校	综合	Jilin Vocational And Technical College		http://www.jlhtedu.com	
1	吉林省	4122014602	吉林水利电力职业学院	吉林省	长春市	专科		地方公办	理工	Jilin Polytechnic Of Water Resources And Electric Engineering		https://www.jlsy.edu.cn/	
1	吉林省	4122014603	长春健康职业学院	吉林省教育厅	长春市	专科	民办	民办高校	综合	Changchun Vocational College Of Health		http://www.ccvch.com/	
1	吉林省	4122014701	长春早期教育职业学院	吉林省教育厅	长春市	专科	民办	民办高校	综合	Changchun Early Education Vocational Institute		http://www.cczjxy.com/	学校名称：2019->2020年 新增“长春早期教育职业学院”
1	吉林省	4122014702	梅河口康美职业技术学院	吉林省教育厅	通化市	专科	民办	民办高校	医药	Meihekou Kangmei Vocational And Technical College		http://www.mhkkmzyjsxy.com/	学校名称：2019->2020年 新增“梅河口康美职业技术学院”（梅河口市）；所在地：2021->2022年 “梅河口市”更改为“通化市”
1	吉林省	4122014743	吉林通用航空职业技术学院	吉林省	吉林市	专科		地方公办	综合	Jilin General Aviation Vocational And Technical College		https://www.jlthedu.com/	学校名称：2020->2021年 新增“吉林通用航空职业技术学院”
1	吉林省	4122014744	通化医药健康职业学院	吉林省	通化市	专科		地方公办	医药	Tong Hua Yi Yao Jian Kang Zhi Ye Xue Yuan		http://www.thyyjkzyxy.org.cn/	学校名称：2020->2021年 新增“通化医药健康职业学院”
1	吉林省	4122014839	长春数字科技职业学院	吉林省教育厅	长春市	专科	民办	民办高校	综合	Changchun Digital Technology Vocational College			学校名称：2023->2024年 新增“长春数字科技职业学院”
1	黑龙江省	4123010212	黑龙江大学	黑龙江省	哈尔滨市	本科		地方公办	综合	Heilongjiang University		http://www.hlju.edu.cn/	
1	黑龙江省	4123010213	哈尔滨工业大学	工业和信息化部	哈尔滨市	本科		中央部属	理工	Harbin Institute of Technology	211，985，双一流	https://www.hit.edu.cn/	
1	黑龙江省	4123010214	哈尔滨理工大学	黑龙江省	哈尔滨市	本科		地方公办	理工	Harbin University of Science and Technology		http://zs.hrbust.edu.cn/	
1	黑龙江省	4123010217	哈尔滨工程大学	工业和信息化部	哈尔滨市	本科		中央部属	理工	Harbin Engineering University	211，双一流	http://www.hrbeu.edu.cn/	
1	黑龙江省	4123010219	黑龙江科技大学	黑龙江省	哈尔滨市	本科		地方公办	理工	Heilongjiang University of Science and Technology		http://www.usth.edu.cn/	
1	黑龙江省	4123010220	东北石油大学	黑龙江省	大庆市	本科		地方公办	理工	Northeast Petroleum University		https://www.nepu.edu.cn/	
1	黑龙江省	4123010222	佳木斯大学	黑龙江省	佳木斯市	本科		地方公办	综合	Jiamusi University		https://www.jmsu.edu.cn/	
1	黑龙江省	4123010223	黑龙江八一农垦大学	黑龙江省	大庆市	本科		地方公办	农业	Heilongjiang Bayi Agricultural University		http://byau.edu.cn/	
1	黑龙江省	4123010224	东北农业大学	黑龙江省	哈尔滨市	本科		地方公办	农业	Northeast Agricultural University	211，双一流	http://www.neau.edu.cn/	
1	黑龙江省	4123010225	东北林业大学	教育部	哈尔滨市	本科		教育部直属	林业	Northeast Forestry University	211，双一流	http://www.nefu.edu.cn/	
1	黑龙江省	4123010226	哈尔滨医科大学	黑龙江省	哈尔滨市	本科		地方公办	医药	Harbin Medical University		https://www.hrbmu.edu.cn/	
1	黑龙江省	4123010228	黑龙江中医药大学	黑龙江省	哈尔滨市	本科		地方公办	医药	Heilongjiang University of Chinese Medicine		http://www.hljucm.net/	
1	黑龙江省	4123010229	牡丹江医科大学	黑龙江省	牡丹江市	本科		地方公办	医药	Mudanjiang Medical University		http://www.mdjmu.cn/	学校名称：2023->2024年 “牡丹江医学院”更名为“牡丹江医科大学”
